"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Verificando las tablas del SandBox","4","0","Scenario Outline name: Validar registro específico de la tabla estática","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar que la tabla dinámica tiene filas cargadas","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar que no haya duplicados","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar cantidad de filas en la Tabla estática","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar formato de datos y estructura de la tabla estática","0"
"0","","0","Escribir texto","1","0","Escribo Texto y verifico su contenido","0"
"0","","0","Prueba botón con Id Dinámico","1","0","Hago click al botón con Id Dinamico y verifico su elemento oculto.","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar que no haya celdas vacías en la tabla dinámica","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar Headers de la Tabla estática","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar cantidad de columnas de la tabla dinámica","0"
"0","","0","Verificando Popups","1","0","Verificar que el popup se muestre al hacer clic en el botón","0"
"0","","0","Verificando las tablas del SandBox","2","0","Validar que la tabla se actualiza al refrescar la página","0"
"0","","0","Checkboxes and RadioButtons","1","0","Interactuar con checkboxes","0"
"0","","0","Verificando Dropdowns","1","0","Deportes dropdown should have correct options","0"
"0","","0","Verificando Dropdowns","1","0","Días de la semana dropdown should have correct options","0"
"0","","0","Checkboxes and RadioButtons","1","0","Interactuar con RadioButtons","0"
